npop100_gens50_enemy3_mut0.60_elitism0.10_20240928_160601
gen best mean std
0 75.427846 9.129856 23.801797
1 75.427846 17.060875 28.769068
2 75.427846 21.596983 32.782283
3 75.427846 30.739193 33.982514
4 75.427846 40.980919 32.973834
5 75.427846 48.806631 32.129301
6 75.427846 38.179367 36.987012
7 75.427846 36.816307 36.602013
8 75.427846 37.590380 35.700790
9 75.427846 47.440552 34.412945
10 75.427846 40.367189 37.397279
11 75.427846 38.202030 36.275946
12 75.427846 40.755614 34.840304
13 75.427846 42.343049 37.140265
14 75.427846 39.183658 37.114069
15 75.427846 38.937779 37.545728
16 75.427846 37.417848 39.811923
17 75.427846 38.540374 38.443157
18 75.427846 39.358383 38.143161
19 75.427846 38.535842 37.051366
20 75.427846 33.338838 39.982402
21 75.427846 35.433743 38.479127
22 75.427846 47.403968 34.512442
23 75.427846 34.120402 39.402756
24 86.227846 42.728675 37.229723
25 86.227846 38.141527 37.750416
26 86.227846 40.198140 36.509079
27 86.227846 47.635754 36.438284
28 86.227846 37.100592 38.659968
29 86.227846 42.039716 36.701676
30 86.227846 36.151091 38.941392
31 86.227846 39.399052 38.302323
32 86.227846 39.038142 37.124834
33 86.227846 46.659450 33.780493
34 86.227846 45.422197 36.767315
35 86.227846 48.267322 31.440490
36 86.227846 42.366749 38.699627
37 86.227846 42.112464 38.191343
38 86.227846 38.995585 37.742158
39 86.227846 42.590558 37.057223
40 86.227846 38.152397 38.249500
41 86.227846 41.554124 37.748211
42 86.227846 40.064467 36.361066
43 86.227846 36.483160 39.694618
44 86.227846 39.907649 38.305751
45 86.227846 50.098174 35.043439
46 86.227846 45.038599 38.048679
47 86.227846 50.047372 33.575665
48 86.227846 42.841233 37.904388
49 86.227846 38.701485 38.297856
