npop100_gens50_enemy3_mut0.60_elitism0.10_20240928_160544
gen best mean std
0 75.210040 8.583878 24.454342
1 75.210040 17.380457 30.032173
2 75.210040 23.969396 31.940496
3 75.210040 30.549689 31.173013
4 75.210040 31.130300 32.822085
5 75.210040 41.891093 29.351068
6 75.210040 37.657526 33.300583
7 75.210040 36.853367 34.335532
8 75.210040 35.542307 34.636513
9 75.210040 41.381169 36.343610
10 75.210040 41.051179 35.047637
11 75.210040 44.153677 35.657037
12 75.210040 34.553113 37.605958
13 75.210040 44.571292 34.713301
14 75.210040 45.825039 33.026070
15 75.210040 41.792798 36.533653
16 75.210040 43.937080 35.073114
17 86.783229 54.053642 33.015762
18 86.783229 42.438228 35.957670
19 86.783229 39.884977 37.456475
20 86.783229 44.126687 37.039537
21 86.783229 42.428744 36.511221
22 86.783229 39.514620 38.634206
23 86.783229 43.845525 36.427315
24 86.783229 47.722313 35.514191
25 86.783229 44.149096 36.891711
26 86.783229 40.299035 39.224434
27 86.783229 44.581177 36.922544
28 86.783229 45.814083 36.460321
29 86.783229 44.171732 37.079653
30 86.783229 48.167096 36.383555
31 86.783229 48.594932 32.126644
32 86.783229 43.351031 38.638675
33 86.783229 42.880871 39.484327
34 86.783229 48.034303 35.367065
35 86.783229 44.218662 39.644421
36 86.783229 53.256375 31.956092
37 86.783229 45.977107 37.262567
38 86.783229 41.153182 38.593755
39 86.783229 36.080399 39.807085
40 86.783229 47.260617 37.669186
41 86.783229 41.855301 37.369286
42 86.783229 39.654121 39.101631
43 86.783229 39.665460 39.787840
44 86.783229 47.109851 38.458670
45 86.783229 55.461660 32.003207
46 86.783229 53.187586 30.013684
47 86.783229 50.114017 34.638341
48 86.783229 48.087258 36.904065
49 86.783229 45.135681 36.818274
