npop100_gens50_enemy3_mut0.60_elitism0.10_20240928_160521
gen best mean std
0 75.210040 8.865924 25.751007
1 75.210040 18.639916 29.562257
2 75.458736 24.711052 33.069124
3 75.458736 30.765959 33.607751
4 75.458736 35.989548 33.924602
5 75.458736 37.295499 34.833876
6 75.458736 41.010101 34.178976
7 75.458736 43.834035 32.849069
8 75.458736 39.911462 34.132243
9 75.458736 45.019178 35.510483
10 75.458736 41.525722 36.430369
11 75.458736 47.509780 35.029458
12 75.458736 39.730286 36.922889
13 75.458736 39.317061 36.639528
14 75.458736 40.969181 33.812959
15 75.458736 41.660558 36.568504
16 75.458736 40.757896 38.335365
17 75.458736 41.541878 37.680337
18 75.458736 38.899226 37.758474
19 75.458736 37.386037 38.300098
20 75.458736 38.541288 38.899620
21 75.458736 43.301367 35.456708
22 75.458736 44.925841 38.034839
23 75.458736 39.505464 36.453937
24 75.458736 38.138590 37.569052
25 75.458736 45.304551 36.919926
26 75.458736 44.094828 36.951297
27 75.458736 50.455358 34.049735
28 75.458736 42.309661 36.689772
29 75.458736 47.482889 32.965274
30 75.458736 42.739066 35.653220
31 75.458736 45.711705 34.421630
32 75.458736 41.575491 36.921047
33 75.458736 54.856928 31.239121
34 75.458736 37.605912 37.158469
35 75.458736 40.764246 38.271052
36 75.458736 42.423679 38.194559
37 75.458736 38.989342 36.082623
38 75.458736 33.903780 39.504715
39 75.458736 50.047690 32.668863
40 75.458736 44.542971 36.907373
41 75.458736 37.124114 38.624766
42 75.458736 42.318081 37.536277
43 75.458736 40.320546 39.513690
44 75.458736 41.208488 37.499452
45 75.458736 45.799467 35.563132
46 75.458736 38.218911 36.516369
47 75.458736 35.589667 38.052884
48 75.458736 42.559496 35.302928
49 75.458736 39.366174 36.643641
