npop100_gens50_enemy8_mut0.60_elitism0.10_20240928_155040
gen best mean std
0 87.297882 14.751927 33.877589
1 90.609203 24.742586 41.383769
2 90.609203 41.923700 43.606692
3 90.609203 45.472069 42.284817
4 90.609203 45.969196 42.170139
5 90.609203 58.054707 40.229372
6 90.609203 55.312396 40.753961
7 90.609203 44.349903 43.069944
8 90.609203 48.882085 44.589860
9 90.609203 53.972186 42.971257
10 90.609203 45.440153 44.273134
11 90.609203 48.442443 45.265442
12 90.609203 56.243944 43.733382
13 90.609203 41.816048 44.255842
14 90.609203 41.231103 44.644457
15 90.609203 57.195819 42.609407
16 90.609203 52.752309 44.274967
17 90.609203 43.139100 46.508786
18 90.609203 49.392793 44.329844
19 90.609203 50.671320 43.230456
20 90.609203 55.044636 42.249576
21 90.609203 45.821288 44.230926
22 90.609203 53.510129 43.766926
23 90.609203 45.019646 45.157547
24 90.609203 48.940560 44.911756
25 90.609203 44.433899 42.971146
26 90.609203 46.129339 41.163640
27 90.609203 48.947012 44.829918
28 90.609203 57.111963 43.392751
29 90.609203 62.366691 40.133661
30 90.609203 46.346363 44.066391
31 90.609203 50.810177 43.045975
32 90.609203 50.815195 44.230051
33 90.609203 50.891632 43.636625
34 90.609203 57.228650 40.757838
35 90.609203 53.529387 43.921882
36 90.609203 48.672521 45.382909
37 90.609203 55.622844 41.844380
38 90.609203 53.030557 44.539865
39 90.609203 44.738521 45.637035
40 90.609203 48.581369 42.383331
41 90.609203 52.134125 43.836806
42 90.609203 53.379153 42.358059
43 90.609203 50.807647 43.601772
44 90.609203 45.464488 42.287393
45 90.609203 44.786828 45.590420
46 90.609203 45.581646 44.948207
47 90.609203 46.387135 44.143407
48 90.609203 53.145276 44.414258
49 90.609203 56.904352 39.989937
