npop100_gens50_enemy8_mut0.60_elitism0.10_20240929_213956
gen best mean std
0 90.745289 16.993536 36.150063
1 90.745289 27.854676 42.148795
2 90.745289 33.515873 44.213735
3 90.745289 43.302757 43.354591
4 90.745289 52.830030 43.126823
5 90.745289 42.538843 44.266087
6 90.745289 56.630238 39.879152
7 90.745289 54.562893 38.930234
8 90.745289 43.531682 42.723165
9 90.745289 57.124756 43.640721
10 90.745289 57.172274 40.236350
11 90.745289 45.729164 45.092909
12 90.745289 52.664890 42.045702
13 90.745289 51.696249 41.595168
14 90.745289 53.267912 44.612726
15 90.745289 56.163176 41.776735
16 90.745289 54.468117 40.012012
17 90.745289 49.146413 42.205456
18 90.745289 53.270896 44.469019
19 90.745289 41.303026 45.386796
20 90.745289 45.856880 44.717906
21 90.745289 50.547085 43.784337
22 90.745289 45.634539 42.367254
23 90.745289 52.071166 41.570140
24 90.745289 46.143117 44.684458
25 90.745289 55.356902 40.329720
26 90.745289 42.261800 44.490872
27 90.745289 48.774606 43.442659
28 90.745289 49.996801 41.978298
29 90.745289 45.586281 41.701484
30 90.745289 58.812069 40.636527
31 90.745289 50.653972 41.851294
32 90.745289 49.025957 45.709404
33 90.745289 48.597376 46.198258
34 90.745289 48.231650 46.593718
35 90.745289 45.856328 45.293146
36 90.745289 52.624610 41.448531
37 90.745289 51.986465 43.617941
38 90.745289 46.393559 44.769804
39 90.745289 49.963331 44.845904
40 90.745289 50.483114 44.418916
41 90.745289 43.752885 44.340932
42 90.745289 39.933234 46.753674
43 90.745289 46.405607 45.030554
44 90.745289 58.210908 43.283314
45 90.745289 46.633616 45.207563
46 90.745289 52.681990 44.312989
47 90.745289 50.247933 45.086564
48 90.745289 44.580249 46.936413
49 90.745289 47.570591 44.244482
