npop100_gens50_enemy3_mut0.60_elitism0.10_20240929_213446
gen best mean std
0 85.383229 9.163045 25.310217
1 85.383229 17.671096 29.848221
2 85.383229 25.356229 31.970276
3 85.383229 32.356498 33.132618
4 85.383229 43.661729 32.710239
5 85.383229 51.260353 30.497161
6 85.383229 41.967940 37.338861
7 85.383229 40.590405 37.441596
8 85.383229 44.713029 36.045586
9 85.383229 38.685913 40.500382
10 85.383229 45.052148 36.010523
11 85.383229 44.662962 37.738933
12 85.383229 46.263718 36.515029
13 85.383229 37.256272 39.927420
14 85.383229 40.363697 37.191507
15 85.383229 43.611289 37.058454
16 85.383229 39.795137 39.924037
17 85.383229 36.603055 39.449182
18 85.383229 35.117003 40.692388
19 85.383229 35.143283 40.486088
20 85.383229 42.323818 40.235199
21 85.383229 39.413155 37.060534
22 85.383229 47.149552 37.414238
23 85.383229 45.525725 35.631005
24 85.383229 47.114838 35.889714
25 85.383229 39.069575 37.924385
26 85.383229 46.464173 37.625734
27 85.383229 42.954888 38.125477
28 85.383229 46.849124 35.788840
29 85.383229 43.347891 37.669049
30 85.383229 40.010340 37.602990
31 88.591410 43.041582 39.337518
32 88.591410 41.896517 36.384012
33 88.591410 47.856326 35.445631
34 88.591410 47.361189 34.773417
35 88.591410 51.746848 33.570929
36 88.591410 40.185779 37.910388
37 88.591410 41.642384 38.486767
38 88.591410 47.856210 37.574124
39 88.591410 43.037440 40.260119
40 88.591410 38.838511 40.102155
41 88.591410 38.961259 39.459473
42 88.591410 49.739842 36.518059
43 88.591410 53.881833 32.363608
44 88.591410 43.455038 39.228251
45 88.591410 53.541128 36.083368
46 88.591410 48.333607 36.792268
47 88.591410 41.261568 40.021530
48 88.591410 44.112383 38.676814
49 88.591410 47.511894 35.628956
