npop100_gens50_enemy3_mut0.60_elitism0.10_20240929_213413
gen best mean std
0 75.210040 8.993668 25.199075
1 75.210040 19.735299 31.391004
2 75.210040 23.932330 33.623229
3 75.210040 31.753859 34.726086
4 75.210040 34.979433 37.046644
5 75.210040 41.820983 34.910877
6 85.783229 51.279010 34.067111
7 85.783229 47.134178 35.748822
8 85.783229 39.769718 38.128906
9 85.783229 38.893246 39.117957
10 85.783229 40.307332 36.993962
11 85.783229 38.145367 39.600421
12 85.783229 41.132784 39.046345
13 85.783229 36.483713 39.598000
14 85.783229 43.672308 37.506610
15 85.783229 40.141844 38.607985
16 85.783229 46.554728 36.062627
17 85.783229 39.764590 38.692222
18 85.783229 43.936828 36.744151
19 85.783229 44.610950 36.379188
20 85.783229 47.307896 34.763405
21 85.783229 44.634595 36.421362
22 85.783229 37.773061 38.592393
23 85.783229 38.369986 38.506903
24 85.783229 52.413271 32.227297
25 85.783229 50.756337 31.541576
26 85.783229 49.778647 35.359977
27 85.783229 46.910953 35.623049
28 85.783229 42.256693 35.966738
29 85.783229 37.347958 38.765168
30 86.383229 47.287174 38.221496
31 86.383229 41.827178 38.585470
32 86.383229 43.167586 37.372695
33 86.383229 47.386999 37.673536
34 86.383229 48.530626 32.730680
35 86.383229 48.222139 35.419329
36 86.383229 43.777428 36.757273
37 86.383229 41.106878 39.041212
38 86.383229 42.362486 38.383583
39 86.383229 46.036771 38.317460
40 86.383229 48.345514 36.915250
41 86.383229 44.084612 39.876897
42 86.383229 47.108295 37.385365
43 86.383229 45.607423 36.987423
44 86.383229 37.939364 42.254531
45 86.383229 53.487622 36.304191
46 86.383229 43.646310 41.286727
47 86.383229 39.746032 42.679475
48 86.383229 44.918719 40.695037
49 86.383229 41.862899 41.158791
