npop100_gens50_enemy8_mut0.60_elitism0.10_20240928_154812
gen best mean std
0 88.929900 16.519503 35.165979
1 88.929900 22.402944 40.109800
2 88.929900 26.649672 43.368602
3 88.929900 37.842362 44.281170
4 88.929900 41.344226 44.670686
5 88.929900 48.757202 43.006243
6 88.929900 45.820769 44.325915
7 88.929900 45.599223 41.117950
8 88.929900 57.619842 39.379104
9 88.929900 47.042173 43.096889
10 88.929900 51.059256 43.229152
11 88.929900 47.013046 43.211777
12 88.929900 42.125617 44.197844
13 91.012379 58.792388 41.455798
14 91.012379 52.197757 45.326580
15 91.012379 56.446723 41.976515
16 91.012379 45.477813 45.184736
17 91.012379 52.321371 41.025147
18 91.012379 52.344928 39.489856
19 91.012379 50.693124 40.219692
20 91.012379 61.275352 40.744631
21 91.012379 54.571485 42.985200
22 91.012379 46.354339 42.111515
23 91.012379 54.808970 36.988925
24 91.012379 53.485805 40.958380
25 91.012379 42.110025 44.624462
26 91.012379 51.542696 43.101948
27 91.012379 50.434453 41.043355
28 91.012379 49.322472 45.221469
29 91.012379 49.642807 42.547740
30 91.012379 52.417408 42.558864
31 91.012379 49.262795 42.049580
32 91.012379 55.875977 41.986542
33 91.012379 50.133132 41.490674
34 91.012379 48.433447 43.550116
35 91.012379 50.215374 42.383738
36 91.012379 61.852113 39.137709
37 91.012379 49.476945 41.867985
38 91.012379 48.997104 42.621480
39 91.012379 49.953468 44.305837
40 91.012379 43.431526 46.167537
41 91.012379 47.515458 44.325278
42 91.012379 53.827695 41.538594
43 91.012379 54.040682 42.511964
44 91.012379 49.508087 44.153983
45 91.012379 49.824649 45.636347
46 91.012379 42.664716 44.930171
47 91.012379 54.575105 43.114911
48 91.012379 52.699828 42.363244
49 91.012379 43.499910 44.748631
