npop100_gens50_enemy8_mut0.60_elitism0.10_20240928_154844
gen best mean std
0 89.524928 16.021474 33.353408
1 89.524928 19.472466 38.683537
2 89.524928 30.752936 42.891690
3 89.524928 39.622891 43.284208
4 89.524928 42.556099 43.156169
5 89.524928 46.809954 44.478750
6 89.524928 48.581996 45.224104
7 89.524928 48.088882 43.017336
8 89.524928 53.541203 41.944142
9 89.524928 52.912841 44.220842
10 89.524928 45.404370 44.639185
11 89.524928 49.457637 44.478563
12 89.524928 51.481288 42.404567
13 89.524928 52.755499 41.286234
14 89.524928 61.690548 37.446508
15 89.524928 50.564894 40.620936
16 90.352379 58.638017 38.047121
17 90.352379 46.899709 43.606245
18 90.352379 57.030664 43.466588
19 90.352379 56.630302 44.129062
20 90.352379 58.517784 38.642719
21 90.352379 52.694493 42.933102
22 90.352379 44.564232 43.359665
23 90.352379 50.706084 42.138882
24 90.352379 46.533363 44.479771
25 90.352379 47.095195 43.700155
26 90.352379 44.304689 42.590043
27 90.352379 54.948471 42.642999
28 90.352379 65.737117 35.366610
29 90.352379 57.781052 42.938639
30 90.352379 55.610645 40.487596
31 90.352379 49.980992 42.828491
32 90.352379 50.628162 43.292969
33 90.352379 60.376805 40.774997
34 90.352379 49.799474 44.833333
35 90.352379 62.516261 38.405085
36 90.352379 49.861654 44.960425
37 90.352379 58.687996 42.152382
38 90.352379 53.434364 41.646914
39 90.352379 49.922728 42.754366
40 90.352379 44.738210 46.525188
41 90.352379 47.607052 41.879319
42 90.352379 53.536277 43.235741
43 90.352379 56.599769 39.621213
44 90.352379 50.510342 44.384248
45 90.352379 44.281687 43.182970
46 90.352379 46.565041 44.800596
47 90.352379 52.732400 43.626127
48 90.352379 58.658461 38.630273
49 90.352379 55.371929 43.123455
