Enemy,Gain
5678,-100.0
5678,-22.191031145072035
5678,-28.89923921682901
5678,-33.17179325860519
5678,-29.89568337804141
5678,-23.537818662389633
5678,-26.217310586700858
5678,-35.025827093158675
5678,-29.80825792344495
5678,-22.955425294362083
