npop100_gens50_enemy8_mut0.60_elitism0.10_20240928_154804
gen best mean std
0 87.297882 13.445767 33.677293
1 90.347552 35.810391 43.692055
2 90.347552 33.532498 44.390011
3 90.347552 52.277827 41.354609
4 90.347552 52.208055 44.068987
5 90.347552 53.523570 42.191970
6 90.347552 50.353833 44.076093
7 90.347552 42.284828 44.491703
8 90.347552 49.951084 44.103607
9 90.347552 52.437545 44.079328
10 90.347552 53.181968 44.445188
11 90.347552 61.831816 41.122069
12 91.116168 52.406563 43.347911
13 91.116168 53.656250 41.684529
14 91.116168 47.464002 43.854520
15 91.116168 45.919643 44.753670
16 91.116168 40.489579 46.063872
17 91.116168 53.764458 44.066107
18 91.116168 61.239382 39.535708
19 91.116168 60.045550 38.635206
20 91.116168 60.734323 39.354857
21 91.116168 61.401514 39.052407
22 91.116168 51.447838 43.640722
23 91.116168 57.487282 39.845457
24 91.116168 45.462548 45.241197
25 91.116168 48.425114 42.790024
26 91.116168 62.613835 38.070444
27 91.116168 58.893076 40.491275
28 91.116168 68.065325 36.542838
29 91.116168 56.071190 41.672923
30 91.116168 59.855014 40.492439
31 91.116168 49.522222 45.481799
32 91.116168 45.547150 45.609899
33 91.116168 40.271775 46.543511
34 91.116168 43.923681 47.120797
35 91.116168 44.713729 46.370286
36 91.116168 58.752275 42.411875
37 91.116168 46.438174 45.121213
38 91.116168 49.136859 45.747185
39 91.116168 55.454045 40.567874
40 91.116168 51.693469 44.165767
41 91.116168 53.347417 43.486987
42 91.116168 54.235047 43.726982
43 91.116168 58.011050 43.252504
44 91.116168 51.270156 43.581034
45 91.116168 54.138121 41.699351
46 91.116168 46.423927 45.092853
47 91.116168 45.459300 45.400445
48 91.116168 51.514700 44.987832
49 91.116168 45.089201 46.019532
