npop100_gens50_enemy8_mut0.60_elitism0.10_20240928_155047
gen best mean std
0 89.523229 15.432182 34.902300
1 89.523229 28.259891 42.601400
2 89.523229 35.688982 42.920403
3 89.523229 37.145497 44.785579
4 89.523229 49.653647 43.557954
5 91.013548 43.073821 45.062683
6 91.013548 43.255954 44.134935
7 91.013548 57.664868 40.772580
8 91.013548 58.164565 39.524514
9 91.013548 43.765767 46.126790
10 91.013548 50.771623 43.327260
11 91.013548 50.280606 43.723851
12 91.013548 57.873854 42.211127
13 91.013548 58.722143 41.228561
14 91.013548 48.316886 41.523249
15 91.013548 54.302658 42.880671
16 91.013548 48.166174 45.786891
17 91.013548 56.020403 41.025983
18 91.013548 57.843835 42.200533
19 91.013548 52.344885 41.478215
20 91.013548 49.593985 44.582012
21 91.013548 49.499389 44.436421
22 91.013548 56.818713 40.217882
23 91.013548 55.110917 40.403151
24 91.013548 47.751467 43.371898
25 91.013548 46.140443 44.547419
26 91.013548 49.221387 45.071226
27 91.013548 58.020248 42.515605
28 91.013548 58.034468 42.446799
29 91.013548 49.243096 45.029506
30 91.013548 44.914084 45.516290
31 91.013548 44.260739 42.574561
32 91.013548 49.624557 44.548466
33 91.013548 44.465578 45.972630
34 91.013548 52.460024 45.396476
35 91.013548 39.140869 46.901861
36 91.013548 53.409253 42.835961
37 91.013548 49.242928 45.241868
38 91.013548 45.085393 44.506260
39 91.013548 45.969118 41.633088
40 91.013548 56.574046 40.478440
41 91.013548 51.781113 43.244518
42 91.013548 54.735146 42.676658
43 91.013548 60.087961 35.219012
44 91.013548 49.467748 41.803067
45 91.013548 46.454074 44.012481
46 91.013548 47.455497 43.232974
47 91.013548 51.408213 43.069747
48 91.013548 51.473213 42.460243
49 91.013548 50.532569 44.261177
