npop100_gens50_enemy8_mut0.60_elitism0.10_20240928_155008
gen best mean std
0 87.225869 10.082524 29.781364
1 87.225869 18.637247 33.850118
2 87.234668 32.712863 40.716789
3 87.297882 40.647709 42.923693
4 87.297882 35.759702 44.767597
5 87.297882 40.845523 43.161027
6 87.297882 41.726112 43.433219
7 87.297882 44.433457 44.254473
8 87.297882 48.520152 44.348635
9 87.297882 39.326696 45.598180
10 87.319256 44.745732 44.765605
11 87.319256 44.699100 44.835236
12 87.319256 53.933991 42.529976
13 87.319256 45.225064 44.148655
14 87.319256 46.437043 43.191770
15 87.319256 49.185142 43.927741
16 87.319256 58.691233 40.336122
17 87.319256 53.114627 43.482454
18 87.319256 48.938634 42.923018
19 87.319256 46.457165 43.205052
20 87.319256 57.769938 38.327533
21 87.319256 49.532689 43.556593
22 87.319256 51.192166 41.992373
23 87.319256 54.035467 42.772351
24 87.319256 57.082929 42.539013
25 87.319256 49.654331 43.789827
26 87.319256 46.460611 43.658425
27 90.970119 56.272849 41.767405
28 90.970119 52.225847 41.742702
29 90.970119 54.181454 43.314091
30 90.970119 48.856976 41.951412
31 90.970119 45.038358 45.032104
32 90.970119 46.304311 44.108028
33 90.970119 56.897885 41.252900
34 90.970119 48.898059 41.450829
35 90.970119 50.679013 43.435436
36 90.970119 42.791090 43.946505
37 91.294809 52.284136 42.824536
38 91.294809 46.119694 44.542762
39 91.294809 49.824404 43.043931
40 91.294809 56.160795 41.928285
41 91.294809 45.121911 42.057348
42 91.294809 54.253172 40.978729
43 91.294809 48.323181 44.135089
44 91.294809 54.599201 43.043693
45 91.294809 49.437550 44.961042
46 91.294809 52.462003 42.228099
47 91.294809 51.151569 44.969339
48 91.294809 51.910657 43.933458
49 91.294809 47.256990 43.998554
