npop100_gens50_enemy3_mut0.60_elitism0.10_20240929_213405
gen best mean std
0 75.210040 9.218063 25.622867
1 75.210040 22.246208 31.878141
2 75.210040 25.787879 34.263788
3 75.210040 30.006832 37.094585
4 75.210040 43.645675 34.291679
5 75.210040 39.287181 34.755344
6 75.210040 43.641588 34.871827
7 75.210040 39.307389 34.933231
8 75.210040 41.392780 36.969115
9 75.210040 38.144491 37.727724
10 75.210040 42.830975 36.195141
11 75.213103 45.399240 35.872127
12 75.213103 37.167190 39.951170
13 75.213103 37.226651 38.393167
14 84.210040 47.958268 36.212631
15 84.210040 37.675518 38.597092
16 84.210040 43.570151 37.131971
17 84.210040 46.600701 35.272475
18 84.983229 52.573465 33.305263
19 84.983229 57.175887 25.879823
20 84.983229 46.208025 36.286272
21 84.983229 47.305098 32.933626
22 84.983229 39.446415 37.069917
23 84.983229 42.725398 38.580869
24 84.983229 41.948497 37.557975
25 84.983229 41.055073 38.691533
26 84.983229 37.253513 38.613116
27 84.983229 43.277664 37.505480
28 86.097367 44.095479 39.728687
29 86.097367 44.268666 36.742872
30 86.097367 40.016731 38.440847
31 86.097367 36.518143 40.106297
32 86.097367 43.719737 37.405640
33 86.097367 43.382159 39.120696
34 86.097367 51.029553 36.095345
35 86.097367 50.293201 37.034339
36 86.097367 41.606763 37.639888
37 86.097367 47.182905 35.830174
38 86.097367 38.486895 40.341511
39 86.097367 43.349735 38.108649
40 86.097367 44.720767 36.973317
41 86.097367 43.414786 39.427197
42 86.097367 42.962916 41.282320
43 86.097367 41.379074 39.562892
44 86.097367 43.065297 38.100366
45 86.097367 44.116759 38.505054
46 86.097367 44.252634 38.088746
47 86.097367 47.196006 40.009998
48 86.097367 38.999536 40.670129
49 86.097367 46.592484 36.412733
