npop100_gens50_enemy3_mut0.60_elitism0.10_20240928_160424
gen best mean std
0 75.210040 12.583465 24.970717
1 88.297367 18.444601 32.446809
2 88.297367 27.465950 36.352288
3 88.297367 30.052310 37.161924
4 88.297367 34.076858 37.297470
5 88.297367 40.281395 36.069857
6 88.297367 36.952552 36.829877
7 88.297367 42.234489 36.713813
8 88.297367 36.595934 38.279922
9 88.297367 49.610039 32.569123
10 88.297367 49.749289 32.586928
11 88.297367 40.133788 37.265852
12 88.297367 42.048254 39.109642
13 88.297367 45.439306 36.406680
14 88.297367 45.970926 34.693338
15 88.297367 39.874276 37.793273
16 88.297367 42.370940 34.974408
17 88.297367 48.468225 37.792850
18 88.297367 45.483253 36.821286
19 88.297367 60.593681 25.382910
20 88.297367 40.804985 38.861701
21 88.297367 38.669951 39.042925
22 88.297367 49.847362 35.006943
23 88.297367 53.300203 34.157677
24 88.297367 44.913401 36.402500
25 88.297367 44.377050 35.738101
26 88.297367 42.233542 37.270020
27 88.297367 48.155120 36.124506
28 88.297367 46.933804 35.863317
29 88.297367 41.700114 37.887054
30 88.297367 38.744545 39.411130
31 88.297367 56.819991 28.748625
32 88.297367 40.500094 38.036925
33 88.297367 45.583948 38.157721
34 88.297367 45.679648 38.207479
35 88.297367 41.286834 37.300397
36 88.297367 45.971337 35.731891
37 88.297367 42.674374 39.016430
38 88.297367 48.424733 37.065770
39 88.297367 38.809686 39.668054
40 88.297367 40.076986 39.460726
41 88.297367 50.337669 33.563728
42 88.297367 37.487030 40.420604
43 88.297367 44.062677 38.911270
44 88.297367 40.907847 39.066257
45 88.297367 52.052672 35.395796
46 88.297367 45.103874 39.370188
47 88.297367 45.400479 35.681764
48 88.297367 46.500046 37.322848
49 88.297367 43.872863 39.132802
