npop100_gens50_enemy3_mut0.60_elitism0.10_20240928_160352
gen best mean std
0 75.210040 6.543440 20.537313
1 75.210040 12.113795 23.626238
2 75.210040 15.054947 26.163719
3 75.210040 23.535411 26.783732
4 75.210040 26.440250 28.639962
5 75.210040 28.395042 28.035328
6 75.210040 29.625571 30.598181
7 75.210040 35.412462 29.347884
8 75.210040 32.174033 31.483314
9 75.210040 38.837147 28.746354
10 75.210040 34.545730 33.894733
11 75.210040 42.893587 32.893213
12 75.210040 38.527096 34.829011
13 75.210040 38.904490 35.668643
14 75.210040 40.106800 34.944178
15 75.210040 37.703991 35.156447
16 85.424051 46.141189 35.565946
17 85.424051 37.175483 37.142757
18 85.424051 40.175350 36.441222
19 85.424051 49.658279 34.158012
20 85.424051 48.751490 34.767335
21 85.424051 43.172334 35.888406
22 87.259829 53.320984 34.998611
23 87.259829 46.339799 35.556061
24 87.259829 38.264656 38.833887
25 87.259829 44.887754 37.613560
26 87.259829 48.036441 34.066909
27 87.259829 45.893328 37.771290
28 87.259829 43.299390 36.954859
29 87.259829 40.638706 38.844337
30 87.259829 48.567849 35.974306
31 87.259829 47.130288 37.706431
32 87.259829 44.679526 33.748342
33 87.259829 44.361424 36.394059
34 87.259829 40.317917 39.189330
35 87.259829 46.352978 38.523075
36 90.262464 51.850279 35.740811
37 90.262464 54.356354 32.418556
38 90.262464 59.132922 28.625697
39 90.262464 44.617800 37.044855
40 90.262464 47.385754 35.268523
41 90.262464 44.330688 37.262752
42 90.262464 42.504443 38.624294
43 90.262464 41.951617 38.405906
44 90.262464 47.527535 37.934201
45 90.262464 41.833696 38.894843
46 90.262464 53.969948 33.373278
47 90.262464 43.342517 36.826605
48 90.262464 44.177243 37.695283
49 90.262464 40.837650 40.213660
