npop100_gens50_enemy8_mut0.60_elitism0.10_20240928_154852
gen best mean std
0 89.486611 21.589672 38.329357
1 89.486611 33.978816 44.022854
2 89.486611 34.645751 45.977748
3 89.486611 41.880636 45.903018
4 89.486611 39.132800 43.363095
5 89.486611 41.803466 45.811321
6 89.486611 52.503048 44.582181
7 89.486611 50.905110 41.622254
8 89.486611 66.006363 35.904484
9 89.486611 56.329471 41.024730
10 89.486611 54.162412 42.892478
11 91.253548 62.404010 38.133164
12 91.253548 62.328531 40.363015
13 91.253548 50.366575 42.263012
14 91.253548 45.135166 45.281937
15 91.253548 49.657397 44.820997
16 91.253548 67.895160 35.152688
17 91.253548 59.399141 40.834092
18 91.253548 44.701611 43.712546
19 91.253548 59.259249 40.406439
20 91.253548 67.379977 37.452637
21 91.253548 49.507062 43.218412
22 91.253548 63.299837 38.901631
23 91.253548 41.296902 45.254334
24 91.253548 43.796198 43.040877
25 91.253548 57.334258 43.608987
26 91.253548 45.367378 45.368775
27 91.253548 45.836816 44.905179
28 91.253548 46.865665 42.330813
29 91.253548 55.651864 41.635513
30 91.253548 53.867714 41.347962
31 91.253548 47.978322 43.097991
32 91.253548 50.465821 42.514472
33 91.253548 55.112696 42.414025
34 91.253548 63.741704 38.598668
35 91.253548 41.305362 45.446261
36 91.253548 45.658252 42.432768
37 91.253548 47.394980 44.153615
38 91.253548 55.237310 42.924886
39 91.253548 48.364109 44.241341
40 91.253548 64.247969 38.135350
41 91.253548 60.329884 38.360029
42 91.253548 58.579335 39.158686
43 91.253548 51.046327 44.192868
44 91.253548 42.514014 45.238902
45 91.253548 57.373214 44.593040
46 91.253548 63.543193 38.353224
47 91.253548 45.010539 46.665811
48 91.253548 56.912089 41.624337
49 91.253548 55.425601 41.512318
