npop100_gens50_enemy5_mut0.60_elitism0.10_20240928_160038
gen best mean std
0 93.696796 24.815579 40.685897
1 93.696796 21.832665 40.544991
2 93.696796 38.979613 45.392169
3 93.696796 50.108242 45.936779
4 93.696796 52.270537 44.122656
5 93.696796 62.960980 41.320974
6 93.696796 58.293198 42.339162
7 93.696796 52.624120 45.217884
8 93.696796 54.004443 44.358693
9 93.696796 65.050035 41.253260
10 93.696796 55.089083 47.341627
11 93.696796 52.638663 45.938389
12 93.696796 50.126190 44.039980
13 93.696796 59.379147 42.377867
14 93.696796 61.986173 41.300461
15 93.696796 61.058522 44.266404
16 93.696796 63.217254 41.766999
17 93.696796 58.202927 43.550075
18 93.696796 65.118255 39.642565
19 93.696796 61.771605 43.132635
20 93.696796 58.416640 44.230651
21 93.696796 54.724148 44.448105
22 93.696796 62.834756 41.560544
23 93.696796 60.756197 45.010384
24 93.696796 69.906963 40.169397
25 93.696796 74.713464 32.380533
26 93.696796 67.015035 41.022110
27 93.696796 65.449329 39.405523
28 93.696796 64.463413 39.657734
29 93.696796 65.864462 40.910979
30 93.696796 60.506053 41.497468
31 93.696796 60.495747 43.134970
32 93.696796 69.604634 40.704060
33 93.696796 51.887614 44.442939
34 93.696796 69.868351 40.779561
35 93.696796 49.597099 46.209794
36 93.696796 58.318792 44.228965
37 93.696796 65.168616 41.357164
38 93.696796 62.451005 43.633125
39 93.696796 62.577694 42.658788
40 93.696796 65.986334 42.044220
41 93.696796 58.225979 44.417353
42 93.696796 57.504294 45.519195
43 93.696796 57.076518 45.670729
44 93.696796 66.111765 39.491386
45 93.696796 66.800012 41.337291
46 93.696796 57.466796 43.707767
47 93.696796 50.752076 45.569309
48 93.696796 65.569016 43.152577
49 93.696796 53.968782 45.657602
