npop100_gens50_enemy8_mut0.60_elitism0.10_20240929_213925
gen best mean std
0 90.942264 17.469698 34.561824
1 90.942264 27.732625 40.503272
2 90.942264 39.104339 43.369846
3 90.942264 41.867259 44.203623
4 90.942264 45.645348 45.013054
5 90.942264 43.776101 44.327242
6 90.942264 48.213934 43.150540
7 90.942264 41.313839 44.761919
8 90.942264 47.975116 42.541422
9 90.942264 45.859982 44.135477
10 90.942264 52.962912 44.152471
11 90.942264 43.507096 46.194953
12 90.942264 43.643942 46.054992
13 90.942264 39.650869 45.913965
14 90.942264 55.326598 39.970549
15 90.942264 50.519634 43.154647
16 90.942264 45.732044 44.410870
17 90.942264 47.572104 42.546461
18 90.942264 49.726468 44.025518
19 90.942264 41.824214 44.195917
20 90.942264 51.866412 41.979374
21 90.942264 49.743173 40.999999
22 90.942264 51.567569 41.523721
23 90.942264 58.136150 41.559367
24 90.942264 55.294894 41.684346
25 90.942264 49.047263 45.032270
26 90.942264 45.930624 45.024170
27 90.942264 52.480016 41.589280
28 90.942264 55.710309 41.608716
29 90.942264 58.776207 41.517200
30 90.942264 61.467710 41.492004
31 90.942264 49.926914 43.039156
32 90.942264 44.279460 45.896113
33 90.942264 49.666007 44.409127
34 90.942264 57.981641 42.419885
35 90.942264 45.657683 44.939305
36 90.942264 46.944722 44.971503
37 90.942264 46.122778 44.246783
38 91.993573 58.966510 39.212288
39 91.993573 43.252298 43.590184
40 91.993573 47.693864 43.469593
41 91.993573 47.660739 43.666852
42 91.993573 54.159616 40.647545
43 91.993573 49.706973 43.487670
44 91.993573 45.085850 45.868229
45 91.993573 45.545433 45.354431
46 91.993573 46.244971 44.960727
47 91.993573 53.500258 40.858010
48 91.993573 45.165670 45.730263
49 91.993573 63.668477 36.016222
