npop100_gens50_enemy5_mut0.60_elitism0.10_20240928_155926
gen best mean std
0 93.696796 27.561304 42.942439
1 93.696796 34.829238 44.676741
2 93.696796 47.887937 45.267439
3 93.696796 46.922088 48.071704
4 93.696796 44.701971 46.305428
5 93.696796 58.393666 45.049064
6 93.696796 60.574475 44.952287
7 93.696796 49.957286 45.894001
8 93.696796 51.913328 44.434329
9 93.696796 65.100663 40.702371
10 93.696796 51.940255 47.352969
11 93.696796 53.502259 45.182661
12 93.696796 53.255348 46.002207
13 93.696796 52.028167 47.582237
14 93.696796 58.221099 41.262645
15 93.696796 61.384058 44.358514
16 93.696796 57.627044 42.314986
17 93.696796 59.675886 43.682322
18 93.696796 61.659767 41.880836
19 93.696796 48.676372 47.094560
20 93.696796 58.895980 44.030402
21 93.696796 56.897863 45.455488
22 93.696796 61.327823 44.008247
23 93.696796 74.478941 37.564766
24 93.696796 50.062737 46.133103
25 93.696796 64.882229 40.704818
26 93.696796 75.067486 31.971475
27 93.696796 66.975511 41.419466
28 93.696796 60.855349 44.801269
29 93.696796 61.637069 42.829513
30 93.696796 55.326332 44.457637
31 93.696796 76.270078 34.151169
32 93.696796 78.891376 33.268469
33 93.696796 71.362870 38.973422
34 93.696796 66.885910 40.694588
35 93.696796 73.554738 34.939725
36 93.696796 71.762844 37.676049
37 93.696796 60.813731 42.824649
38 93.696796 65.797154 39.208483
39 93.696796 67.411847 41.615249
40 93.696796 64.855302 40.013490
41 93.696796 66.973760 40.433960
42 93.696796 63.810663 41.859647
43 93.696796 62.362052 42.117406
44 93.696796 58.821298 45.501013
45 93.696796 70.155222 40.450650
46 93.696796 62.694390 43.038930
47 93.696796 58.184824 44.648775
48 93.696796 58.619203 43.886046
49 93.696796 62.585983 42.767823
