npop100_gens50_enemy5_mut0.60_elitism0.10_20240928_160131
gen best mean std
0 92.656456 22.818236 37.994365
1 92.883428 36.218715 42.881428
2 93.696796 48.477091 43.349429
3 93.696796 45.835170 44.920275
4 93.696796 59.018864 44.793727
5 93.696796 62.621576 41.880951
6 93.696796 61.841338 42.408739
7 93.696796 61.985265 42.424202
8 93.696796 66.142083 40.729531
9 93.696796 69.224208 40.424372
10 93.696796 62.486308 39.229202
11 93.696796 65.323468 41.538477
12 93.696796 44.783482 46.373391
13 93.696796 61.873234 42.080648
14 93.696796 55.541880 46.118201
15 93.696796 60.292210 41.635237
16 93.696796 57.967439 43.821752
17 93.696796 63.904883 42.504147
18 93.696796 60.025451 41.582794
19 93.696796 52.360482 46.415413
20 93.696796 48.073282 44.218653
21 93.696796 61.962863 43.982962
22 93.696796 60.604127 45.364654
23 93.696796 48.036605 47.477746
24 93.696796 50.295436 45.505768
25 93.696796 47.007310 44.781812
26 93.696796 57.980645 44.523939
27 93.696796 52.763802 46.975078
28 93.696796 63.893856 40.831291
29 93.696796 58.452215 44.351680
30 93.696796 59.062206 43.703787
31 93.696796 67.831076 40.094461
32 93.696796 71.861696 37.381846
33 93.696796 55.333025 44.799117
34 93.696796 56.443021 46.184862
35 93.696796 65.630638 41.899616
36 93.696796 70.493149 36.731010
37 93.696796 49.502483 46.436323
38 93.696796 55.308808 43.610473
39 93.696796 54.369875 45.641364
40 93.696796 61.720916 44.455017
41 93.696796 61.216108 41.134412
42 93.696796 55.382492 44.236882
43 93.696796 62.050503 43.366387
44 93.696796 59.459528 43.667968
45 93.696796 61.873472 44.035319
46 93.696796 54.334714 45.472270
47 93.696796 68.297688 39.589083
48 93.696796 62.086237 44.221307
49 93.696796 78.154228 33.859375
