npop100_gens50_enemy3_mut0.60_elitism0.10_20240928_160505
gen best mean std
0 75.210040 8.312984 21.775783
1 75.210040 17.387434 28.609019
2 75.210040 25.622147 32.202317
3 75.210040 32.471124 35.125646
4 75.210040 35.071612 34.742795
5 75.210040 34.191474 35.090105
6 75.210040 38.041503 34.597345
7 75.210040 42.868145 34.159634
8 75.210040 39.356682 34.766712
9 75.210040 49.239676 32.794635
10 75.210040 38.844864 36.879714
11 75.210040 41.973587 37.803444
12 75.210040 40.518472 36.442368
13 75.210040 40.742888 36.982913
14 87.075317 41.751081 37.654367
15 87.075317 40.458985 37.986644
16 87.075317 44.221640 36.349329
17 87.075317 42.119372 37.238780
18 87.075317 46.731499 37.452832
19 87.075317 45.971396 35.182055
20 87.075317 50.688679 33.777429
21 87.075317 41.198219 36.577225
22 87.075317 41.107162 38.408506
23 87.075317 45.268605 36.564016
24 87.075317 44.281564 38.426389
25 87.075317 41.733518 37.831451
26 87.075317 41.546262 40.310973
27 87.075317 41.496200 38.159301
28 87.075317 38.740097 37.952895
29 87.075317 42.912717 37.866526
30 87.075317 38.173370 38.695452
31 87.075317 37.827122 38.415428
32 87.075317 42.475554 38.662401
33 87.075317 46.359817 35.129644
34 87.075317 46.887057 34.277585
35 88.183229 42.383112 39.276574
36 88.183229 43.285700 36.091990
37 88.183229 44.577836 36.324880
38 88.183229 40.231632 38.476887
39 88.183229 45.516854 35.248738
40 88.183229 44.108953 37.003807
41 88.183229 44.526228 36.982550
42 88.183229 49.137790 36.343216
43 88.183229 41.155232 38.225152
44 88.183229 48.058160 34.094293
45 88.183229 42.436830 38.778553
46 88.183229 40.175609 38.257447
47 88.183229 53.185316 34.208025
48 88.183229 49.281166 37.716619
49 88.183229 54.945121 35.235031
