Model,Fitness,Individual Gain
"single_island_optimization/models/E123456781020/SIModel_fitness45.070156_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_115351.txt",45.07015603093582,-0.11313375304283468
"single_island_optimization/models/E123456781020/SIModel_fitness42.161660_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_132944.txt",42.16165996136948,-6.194137830592176
"single_island_optimization/models/E123456781020/SIModel_fitness43.562386_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_151037.txt",43.56238552463974,-1.550596533133021
"single_island_optimization/models/E123456781020/SIModel_fitness45.715758_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_121755.txt",45.715758485965935,-5.816284386444849
"single_island_optimization/models/E123456781020/SIModel_fitness40.426768_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_153624.txt",40.42676789581013,-8.770516407033092
"single_island_optimization/models/E123456781020/SIModel_fitness40.743907_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_144500.txt",40.74390658323685,-0.3738396840853184
"single_island_optimization/models/E123456781020/SIModel_fitness40.884232_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_135410.txt",40.88423190837545,-13.667276945503236
"single_island_optimization/models/E123456781020/SIModel_fitness39.355589_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_141953.txt",39.35558906580319,-2.171909138008015
"single_island_optimization/models/E123456781020/SIModel_fitness47.324066_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_130554.txt",47.32406575546031,1.2383082654717512
"single_island_optimization/models/E123456781020/SIModel_fitness40.984635_npop120_gens500_enemy[1, 2, 3, 4, 5, 6, 7, 8]_mut0.20_elitism0.20_20241020_124210.txt",40.98463490390323,1.69192240812977
