EA,enemy,r1,r2,r3,r4,r5
2,8,73.60000000000025, 71.20000000000027, 73.60000000000025, 73.60000000000025, 73.60000000000025
1,8,73.60000000000025, 72.40000000000026, 66.40000000000032, 72.40000000000026, 72.40000000000026
2,5,86.20000000000013, 89.8000000000001, 86.20000000000013, 82.00000000000017, 89.8000000000001
1,5,92.20000000000007, 86.20000000000013, 82.00000000000017, 67.6000000000003, 92.20000000000007
2,3,-10.0, 70, 70, 62, 62
1,44, 44, -10.0, 44, 12
