Model,Fitness,Individual Gain
"multi_island_optimization/models/E12341020/MIModel_fitness46.946123_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_141343.txt",28.653039891930334,-28.416876048223
"multi_island_optimization/models/E12341020/MIModel_fitness38.649025_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_143231.txt",38.056884593733216,-29.592983255352223
"multi_island_optimization/models/E12341020/MIModel_fitness51.166553_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_143654.txt",38.28122820921148,-1.967467538727096
"multi_island_optimization/models/E12341020/MIModel_fitness64.192672_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_141832.txt",64.19267169924602,1.5778323102411669
"multi_island_optimization/models/E12341020/MIModel_fitness47.874066_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_140838.txt",35.69555576249332,-21.948262117949252
"multi_island_optimization/models/E12341020/MIModel_fitness33.580143_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_140419.txt",33.538725385510745,-33.819660112501055
"multi_island_optimization/models/E12341020/MIModel_fitness38.643935_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_142310.txt",38.64393476625123,-34.2084380241115
"multi_island_optimization/models/E12341020/MIModel_fitness42.302036_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_142813.txt",34.99450867978023,-5.505102572168219
"multi_island_optimization/models/E12341020/MIModel_fitness42.854737_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_144614.txt",42.46235797925145,-5.848573487049451
"multi_island_optimization/models/E12341020/MIModel_fitness44.434013_npop120_gens500_enemy[1, 2, 3, 4]_mut0.20_elitism0.20_20241020_144131.txt",42.82808398362305,-29.2084380241115
