npop100_gens50_enemy5_mut0.60_elitism0.10_20240928_155643
gen best mean std
0 93.696796 25.664665 39.887268
1 93.696796 34.687011 43.803650
2 93.696796 35.443890 43.308859
3 93.696796 43.703403 45.838671
4 93.696796 51.248555 45.349776
5 93.696796 50.815785 44.601256
6 93.696796 64.695175 41.959554
7 93.696796 52.215103 45.996911
8 93.696796 47.068963 46.958250
9 93.696796 54.574420 43.829207
10 93.696796 48.364355 45.794491
11 93.696796 54.712280 43.831564
12 93.696796 47.959757 46.583211
13 93.696796 54.534024 43.687745
14 93.696796 46.702441 45.324300
15 93.696796 53.960794 44.573718
16 93.696796 55.801968 44.377174
17 93.696796 48.070139 46.147399
18 93.696796 51.915753 46.516878
19 93.696796 56.496128 43.789345
20 93.696796 50.775894 44.544926
21 93.696796 52.269485 45.677047
22 93.696796 61.641929 43.293117
23 93.696796 61.537458 43.280266
24 93.696796 48.035799 47.159718
25 93.696796 54.349868 44.680838
26 93.696796 57.848632 44.497647
27 93.696796 51.379012 47.674630
28 93.696796 62.109205 42.656129
29 93.696796 57.482020 45.107011
30 93.696796 57.509832 45.478815
31 93.696796 56.699407 45.860739
32 93.696796 61.234032 44.671875
33 93.696796 66.128617 41.685543
34 93.696796 58.753623 44.224390
35 93.696796 59.056502 43.499003
36 93.696796 65.555031 42.653021
37 93.696796 57.321879 45.534075
38 93.696796 60.473973 45.911547
39 93.696796 69.878002 40.745875
40 93.696796 58.739021 44.816756
41 93.696796 54.545747 43.065916
42 93.696796 49.594629 46.484122
43 93.696796 61.074875 45.024901
44 93.696796 65.654910 42.898839
45 93.696796 56.909416 45.878443
46 93.696796 72.374773 35.626277
47 93.696796 72.648905 35.499007
48 93.696796 71.308434 37.184402
49 93.696796 65.239886 42.895230
