npop100_gens50_enemy5_mut0.60_elitism0.10_20240928_155812
gen best mean std
0 93.696796 22.887656 40.299287
1 93.696796 31.916340 43.341169
2 93.696796 46.255534 42.674304
3 93.696796 58.080552 43.235656
4 93.696796 60.680747 42.442618
5 93.696796 52.148702 45.471440
6 93.696796 59.859800 44.786296
7 93.696796 57.439468 44.287787
8 93.696796 49.146278 45.568775
9 93.696796 54.014276 45.311425
10 93.696796 56.342596 46.526536
11 93.696796 61.462700 44.502027
12 93.696796 51.520668 44.785348
13 93.696796 64.633036 40.088672
14 93.696796 59.922559 42.305169
15 93.696796 51.867671 44.522212
16 93.696796 63.171257 42.329578
17 93.696796 55.109665 43.671192
18 93.696796 55.749047 44.896126
19 93.696796 71.703465 37.476430
20 93.696796 57.605289 43.936083
21 93.696796 64.944493 40.353786
22 93.696796 62.925421 42.353814
23 93.696796 57.494714 44.084812
24 93.696796 62.089126 43.759874
25 93.696796 51.866237 45.819451
26 93.696796 53.007537 46.398728
27 93.696796 60.572668 42.278174
28 93.696796 57.317225 44.571046
29 93.696796 60.706117 41.725410
30 93.696796 58.397251 42.978671
31 93.696796 53.972858 45.521098
32 93.696796 65.365308 42.511003
33 93.696796 66.940172 41.905245
34 93.765064 65.653294 42.539327
35 93.765064 59.333198 44.035549
36 93.765064 56.269452 44.619218
37 93.765064 55.654848 43.915221
38 93.765064 57.409926 45.129394
39 93.765064 66.054782 42.682534
40 93.765064 66.209101 42.652546
41 93.765064 66.329675 42.451440
42 93.797198 74.743811 35.209358
43 93.797198 62.379768 44.291292
44 93.797198 52.665990 46.812742
45 93.797198 70.903358 39.112266
46 93.797198 61.200134 44.851092
47 93.797198 63.053472 42.813604
48 93.797198 66.151495 42.102643
49 93.797198 49.626884 46.657411
