npop100_gens50_enemy5_mut0.60_elitism0.10_20240928_155625
gen best mean std
0 92.884928 25.367955 40.557842
1 93.532142 36.064155 44.960360
2 93.532142 32.966548 45.034451
3 93.532142 39.695133 46.132497
4 93.696796 54.441740 46.288468
5 93.696796 70.098401 38.729925
6 93.696796 64.881382 38.289460
7 93.696796 61.733406 42.739594
8 93.696796 60.544038 44.944690
9 93.696796 48.277870 46.663212
10 93.696796 56.514049 45.415895
11 93.696796 53.439561 45.807286
12 93.696796 61.839640 42.555900
13 93.696796 65.398815 42.106309
14 93.696796 62.605012 42.574450
15 93.696796 54.181890 45.327143
16 93.696796 58.482093 43.801407
17 93.696796 74.636175 34.705698
18 93.696796 58.869488 43.144573
19 93.696796 50.841212 44.978117
20 93.696796 63.299677 42.587597
21 93.696796 62.558198 42.039142
22 93.696796 57.804285 44.427616
23 93.696796 50.189802 45.442534
24 93.696796 61.387867 45.213691
25 93.696796 53.790722 45.505708
26 93.696796 67.006247 40.629956
27 93.696796 68.209782 39.474004
28 93.696796 59.887137 43.461074
29 93.696796 47.929201 48.181202
30 93.696796 63.138609 42.824174
31 93.696796 66.125111 41.964955
32 93.696796 70.517836 39.308165
33 93.696796 69.146527 40.587841
34 93.696796 61.164927 41.957999
35 93.696796 66.287984 41.746550
36 93.696796 61.238646 41.237673
37 93.696796 74.526880 35.845811
38 93.696796 61.592339 44.322073
39 93.696796 60.941546 45.741754
40 93.696796 66.149988 41.106374
41 93.696796 57.226272 46.029678
42 93.696796 59.518430 43.224497
43 93.696796 60.992461 42.924177
44 93.696796 49.976970 45.697018
45 93.696796 57.739396 45.038055
46 93.696796 61.624102 44.350978
47 93.696796 56.277162 43.575331
48 93.696796 63.394046 42.697536
49 93.696796 45.884290 46.061136
