npop100_gens50_enemy5_mut0.60_elitism0.10_20240929_213747
gen best mean std
0 92.794000 22.745249 40.380406
1 92.794000 32.342091 43.008211
2 92.794000 38.673154 44.493286
3 92.794000 42.607883 44.115948
4 92.794000 51.170233 45.469642
5 92.794000 54.905361 43.876119
6 92.794000 45.513187 44.497866
7 92.794000 64.537699 42.651151
8 92.794000 42.610245 47.280873
9 92.794000 57.842547 42.354018
10 93.696796 59.162562 45.444283
11 93.696796 65.108917 40.756650
12 93.696796 61.497452 42.064524
13 93.696796 58.692333 42.788703
14 93.696796 52.557240 45.784058
15 93.696796 52.504178 44.186813
16 93.696796 73.944267 36.541578
17 93.696796 61.432531 42.976321
18 93.696796 64.129877 40.869132
19 93.696796 60.394596 39.296152
20 93.696796 59.249847 41.938414
21 93.696796 66.331728 40.135094
22 93.696796 58.286048 44.021132
23 93.696796 62.458008 43.054178
24 93.696796 57.802001 45.024835
25 93.696796 54.047692 45.321377
26 93.696796 57.348919 45.049047
27 93.696796 59.208487 40.874590
28 93.696796 63.351393 41.786470
29 93.696796 62.691411 42.064234
30 93.696796 62.926278 40.730440
31 93.696796 56.315442 43.000311
32 93.696796 59.948409 43.485882
33 93.696796 68.103753 39.189698
34 93.696796 70.083504 35.706564
35 93.696796 50.627650 44.960812
36 93.696796 61.285539 43.753620
37 93.696796 63.209366 39.595809
38 93.696796 70.992877 37.091313
39 93.696796 44.980593 46.574070
40 93.696796 61.464276 44.500846
41 93.696796 63.750496 41.749011
42 93.696796 74.506771 34.645474
43 93.696796 67.522277 40.067480
44 93.696796 66.015432 41.301354
45 93.696796 56.201996 42.751967
46 93.696796 68.979661 40.490851
47 93.696796 66.956834 40.008070
48 93.696796 76.067460 32.431443
49 93.696796 50.087201 46.207889
