npop100_gens50_enemy5_mut0.60_elitism0.10_20240929_213804
gen best mean std
0 93.696796 22.780298 39.511298
1 93.696796 42.836622 43.944929
2 93.696796 40.762388 45.190870
3 93.696796 57.168630 44.502197
4 93.696796 62.645807 42.157122
5 93.696796 61.510849 41.784663
6 93.696796 60.812442 43.972251
7 93.696796 58.013423 43.551793
8 93.696796 61.515429 43.189381
9 93.696796 70.568587 38.880014
10 93.696796 54.549835 44.621330
11 93.696796 56.183056 46.819769
12 93.696796 73.146163 36.695421
13 93.696796 59.172688 43.793561
14 93.696796 60.752129 41.810383
15 93.696796 56.592824 43.380808
16 93.696796 69.641873 40.478065
17 93.696796 65.431936 42.123586
18 93.696796 64.557716 40.765582
19 93.696796 67.343202 40.611362
20 93.696796 70.966089 38.236418
21 93.696796 55.466168 43.746709
22 93.696796 53.881528 45.753332
23 93.696796 75.958749 32.912203
24 93.696796 66.118616 41.870520
25 93.696796 55.613419 47.389024
26 93.696796 60.466037 41.928508
27 93.696796 71.796377 37.268955
28 93.696796 54.493625 44.849889
29 93.696796 53.390960 45.544317
30 93.696796 57.573879 45.316552
31 93.696796 65.912490 42.104767
32 93.696796 61.568382 44.341854
33 93.696796 59.004529 44.216361
34 93.696796 72.746571 37.470730
35 93.696796 63.840042 41.814164
36 93.696796 62.266978 43.851110
37 93.696796 70.829699 39.322761
38 93.696796 57.830130 45.515953
39 93.696796 60.976660 45.099167
40 93.696796 55.661880 45.279931
41 93.696796 62.855140 42.850785
42 93.696796 67.924099 40.640482
43 93.696796 66.227419 41.657341
44 93.696796 74.299040 37.605155
45 93.696796 62.430504 43.478893
46 93.696796 70.396690 39.708223
47 93.696796 66.092012 42.816894
48 93.696796 62.828380 43.092694
49 93.696796 62.226412 43.920378
