npop100_gens50_enemy3_mut0.60_elitism0.10_20240928_160344
gen best mean std
0 75.210040 12.519992 23.679640
1 87.082547 25.135391 29.284701
2 87.082547 30.959867 32.800925
3 87.082547 37.913844 33.386328
4 87.082547 38.485808 33.100767
5 87.789400 38.575076 35.842979
6 87.789400 43.356459 35.111009
7 87.789400 38.591530 35.296689
8 87.789400 42.433577 35.896627
9 87.789400 37.604217 38.142947
10 87.789400 44.891233 34.611763
11 87.789400 44.839096 34.896685
12 87.789400 44.992264 35.220375
13 87.789400 42.508767 38.348117
14 87.789400 43.762988 37.284868
15 87.789400 45.033706 36.432426
16 87.789400 44.584580 36.839774
17 87.789400 51.448462 32.314675
18 87.789400 47.401026 36.664745
19 87.789400 51.823917 32.421104
20 87.789400 50.447494 32.824635
21 87.789400 50.803709 37.312344
22 87.789400 50.311377 36.167140
23 87.789400 50.906559 36.894895
24 87.789400 46.630777 37.567721
25 87.789400 42.904069 37.858097
26 87.789400 47.951877 35.078450
27 87.789400 43.147951 40.055446
28 87.789400 46.923025 37.601532
29 87.789400 47.948112 36.771292
30 87.789400 48.402888 35.063096
31 87.789400 50.028086 35.728908
32 87.789400 48.372768 34.020406
33 87.789400 55.057957 33.242843
34 87.789400 48.320336 34.653685
35 87.789400 42.390355 38.026920
36 87.789400 49.736475 35.070449
37 87.789400 57.051558 30.859250
38 87.789400 48.862125 33.672171
39 87.789400 53.406204 32.895349
40 87.789400 50.939277 36.798234
41 87.789400 45.186087 39.104877
42 87.789400 41.563520 41.463433
43 87.789400 45.103754 41.082356
44 87.834582 50.529715 40.225676
45 87.834582 46.378581 39.116238
46 87.834582 46.219484 41.002178
47 87.834582 48.370927 38.544957
48 87.834582 52.494623 36.784562
49 87.834582 38.903888 43.788459
