npop100_gens50_enemy3_mut0.60_elitism0.10_20240928_160440
gen best mean std
0 57.597323 5.637065 17.340574
1 75.197882 13.882780 23.290615
2 75.210040 23.449275 26.120446
3 75.210040 22.119701 28.667681
4 75.210040 27.122363 29.593381
5 75.210040 29.151889 29.768790
6 75.210040 33.946419 27.788060
7 75.210040 35.119427 30.742896
8 75.210040 32.400637 32.752019
9 75.210040 31.667360 33.183244
10 75.210040 31.264564 32.679569
11 75.210040 30.196651 33.093175
12 75.210040 31.598505 33.156388
13 75.210040 35.245689 29.372892
14 75.210040 29.121987 33.942982
15 75.210040 39.701337 34.049516
16 75.210040 32.643783 36.285904
17 75.210040 31.115815 37.255649
18 75.210040 40.257022 35.585472
19 75.210040 34.626855 36.753064
20 75.210040 41.597153 36.656554
21 75.462666 43.197936 36.575755
22 75.462666 43.991009 37.648371
23 85.383229 52.677036 32.114375
24 85.383229 40.619082 36.356313
25 85.383229 43.368679 35.680179
26 85.383229 48.773113 33.556079
27 85.383229 44.025156 36.588868
28 85.383229 43.837465 37.274981
29 85.383229 37.782429 37.639621
30 85.383229 45.421971 37.206068
31 90.816064 44.082565 39.205492
32 90.816064 38.526186 40.445963
33 90.816064 41.818299 37.892697
34 90.816064 44.348647 38.709921
35 90.816064 42.618444 39.292213
36 90.816064 43.786538 39.600724
37 90.816064 45.560318 38.167585
38 90.816064 48.894112 33.885875
39 90.816064 40.667465 40.250440
40 90.816064 44.729068 37.317963
41 90.816064 39.046910 39.465718
42 90.816064 43.176437 40.161371
43 90.816064 44.063147 37.244341
44 90.816064 39.789173 39.417020
45 90.816064 45.810479 36.519057
46 90.816064 54.112386 33.145988
47 90.816064 49.998395 34.389614
48 90.816064 51.082054 33.041125
49 90.816064 53.139539 33.599011
