npop100_gens50_enemy5_mut0.60_elitism0.10_20240928_155702
gen best mean std
0 93.696796 28.816477 40.962302
1 93.696796 38.919942 44.240803
2 93.696796 40.977885 45.132551
3 93.696796 57.773997 44.763949
4 93.696796 44.584137 46.017760
5 93.696796 56.242010 45.515702
6 93.931733 66.546227 42.183277
7 93.931733 55.475072 43.966920
8 93.931733 47.873155 44.167940
9 93.931733 56.155232 43.956777
10 93.931733 61.037855 43.675090
11 93.931733 63.895277 40.620241
12 93.931733 55.842052 46.379064
13 93.931733 57.967215 43.950605
14 93.931733 58.769528 43.353994
15 93.931733 57.018064 45.897103
16 93.931733 60.512507 45.305333
17 93.931733 70.925745 38.598845
18 93.931733 68.159604 39.026832
19 93.931733 65.796990 42.584849
20 93.931733 56.172386 45.830505
21 93.931733 64.493570 42.012490
22 93.931733 53.569742 44.308797
23 93.931733 61.723751 44.474384
24 93.931733 69.812774 40.406538
25 93.931733 61.669140 42.179912
26 93.931733 59.708824 40.498559
27 93.931733 62.354551 43.806718
28 93.931733 61.505337 43.863169
29 93.931733 53.867476 45.461969
30 93.931733 78.724289 30.228417
31 93.931733 69.001150 38.036985
32 93.931733 64.945986 42.492063
33 93.931733 70.926492 38.742473
34 93.931733 66.963926 41.173075
35 93.931733 80.181093 30.834512
36 93.931733 70.899415 38.495071
37 93.931733 62.685377 42.142575
38 93.931733 74.316671 37.689248
39 93.931733 69.661373 41.128878
40 93.931733 73.332114 37.441402
41 93.931733 75.011595 34.271484
42 93.931733 66.635791 39.826259
43 93.931733 83.582542 26.987033
44 93.931733 73.112108 36.067721
45 93.931733 66.227774 39.432566
46 93.931733 69.672287 39.518876
47 93.931733 79.564007 31.087345
48 93.931733 61.493768 42.261464
49 93.931733 57.144145 45.878978
