npop100_gens50_enemy5_mut0.60_elitism0.10_20240929_213523
gen best mean std
0 93.696796 21.283512 38.675487
1 93.696796 37.711600 43.574927
2 93.696796 46.053501 44.208087
3 93.696796 47.131374 46.446911
4 93.696796 58.943631 44.580598
5 93.696796 51.319360 45.113760
6 93.696796 50.374226 46.492687
7 93.696796 53.986743 44.509102
8 93.696796 58.338034 43.913073
9 93.696796 62.499544 42.146848
10 93.696796 65.199374 41.283265
11 93.696796 48.388538 46.689468
12 93.696796 43.236060 47.466434
13 93.696796 51.191956 47.659520
14 93.696796 66.594756 41.065176
15 93.696796 62.264833 43.081258
16 93.696796 48.295027 47.082647
17 93.696796 53.493332 45.843045
18 93.696796 57.342072 45.182637
19 93.696796 49.938784 45.407879
20 93.696796 63.485593 41.443505
21 93.696796 61.910761 43.383500
22 93.696796 65.954060 39.540260
23 93.696796 54.436300 44.890119
24 93.696796 49.721160 46.586230
25 93.696796 65.806369 42.605237
26 93.696796 51.864329 43.823272
27 93.696796 63.290660 39.522067
28 93.696796 56.420466 45.693048
29 93.696796 65.363342 40.461421
30 93.696796 57.213438 42.755269
31 93.696796 53.307973 45.873284
32 93.696796 50.135707 46.566835
33 93.696796 54.366125 45.263548
34 93.696796 61.729007 43.525470
35 93.696796 53.414425 45.636225
36 93.696796 61.454001 41.526566
37 93.696796 57.768109 44.621594
38 93.696796 59.851690 43.202467
39 93.696796 49.225176 46.371275
40 93.696796 54.302350 45.417279
41 93.696796 57.271119 45.193531
42 93.696796 65.063767 43.696790
43 93.696796 68.813412 38.936522
44 93.696796 57.824199 45.484364
45 93.696796 71.758454 37.602319
46 93.696796 62.511364 43.532350
47 93.696796 60.256825 42.015624
48 93.696796 50.623240 42.347075
49 93.696796 61.071244 44.589977
