npop100_gens50_enemy5_mut0.60_elitism0.10_20240928_155754
gen best mean std
0 93.696796 26.551055 41.558338
1 93.696796 31.162561 44.313464
2 93.696796 44.071343 46.879331
3 93.696796 58.192046 44.689330
4 93.696796 56.829965 44.864086
5 93.696796 64.651873 39.948281
6 93.696796 51.293328 43.405919
7 93.696796 55.621241 45.851342
8 93.696796 46.168634 45.442367
9 93.696796 56.581226 46.309767
10 93.696796 49.507356 46.078659
11 93.696796 64.266545 40.916922
12 93.696796 53.463347 45.188230
13 93.696796 51.770401 47.171259
14 93.696796 63.915047 41.408076
15 93.696796 49.271179 45.637174
16 93.696796 47.331421 48.031827
17 93.696796 68.530352 39.475376
18 93.696796 65.772284 39.359249
19 93.696796 55.778927 45.090322
20 93.696796 48.140759 46.803339
21 93.696796 59.241242 45.217373
22 93.696796 61.931708 42.542189
23 93.696796 60.240183 44.471342
24 93.696796 69.354195 36.708431
25 93.787727 69.602189 41.769396
26 93.787727 53.916724 45.479416
27 93.787727 69.816614 39.760745
28 93.787727 58.111791 44.957037
29 93.787727 68.959515 38.626870
30 93.787727 63.351363 42.376187
31 93.787727 62.497275 41.846837
32 93.787727 58.610435 43.730686
33 93.787727 72.851628 36.124965
34 93.787727 66.791818 40.578984
35 93.787727 53.085144 46.568976
36 93.787727 63.399146 43.327984
37 93.787727 63.145446 42.563867
38 93.787727 70.448998 40.126109
39 93.787727 59.651119 42.375674
40 93.787727 65.598325 43.385933
41 93.787727 75.506008 34.477560
42 93.787727 68.225768 38.903434
43 93.787727 60.963689 43.682318
44 93.881885 72.240637 37.561833
45 93.950514 66.579788 41.319461
46 93.950514 66.313761 40.802201
47 93.950514 61.207585 44.048757
48 93.950514 61.315894 41.189592
49 93.950514 53.526124 45.688234
