npop100_gens50_enemy5_mut0.60_elitism0.10_20240929_213542
gen best mean std
0 92.394865 22.384803 36.871671
1 92.394865 40.916055 45.955851
2 92.552890 41.171423 46.693727
3 92.552890 50.487224 45.699861
4 92.552890 55.291167 44.710853
5 93.696796 45.853198 46.480358
6 93.696796 69.320593 38.034040
7 93.696796 53.308830 41.192567
8 93.696796 62.579183 42.175094
9 93.696796 53.665175 44.742026
10 93.696796 51.628430 47.520197
11 93.696796 58.937021 43.081748
12 93.696796 54.122904 44.856403
13 93.696796 61.719366 43.217002
14 93.696796 61.250777 44.927876
15 93.696796 44.662853 46.739313
16 93.696796 52.498935 46.721599
17 93.696796 48.254895 47.283784
18 93.696796 48.605859 46.942573
19 93.696796 58.933387 42.850670
20 93.696796 57.645312 44.322417
21 93.696796 61.798787 43.302377
22 93.696796 63.373270 41.697139
23 93.696796 60.743516 44.456678
24 93.774725 63.340830 41.936425
25 93.774725 76.569052 29.646641
26 93.774725 58.256747 44.760294
27 93.774725 55.863350 45.074993
28 93.774725 62.417151 42.605063
29 93.774725 50.084979 45.874453
30 93.774725 58.206347 44.860473
31 93.774725 56.039958 44.436061
32 93.774725 57.182561 45.843834
33 93.784826 65.973113 42.359390
34 93.784826 46.136215 45.858542
35 93.784826 56.377015 44.949709
36 93.784826 54.764807 44.477698
37 93.784826 56.068155 44.037189
38 93.784826 51.595550 46.455069
39 93.784826 61.322797 44.522120
40 93.784826 53.259142 46.276913
41 93.784826 65.020231 41.411303
42 93.784826 55.781210 43.939729
43 93.784826 64.935473 40.026997
44 93.784826 62.103442 43.464544
45 93.784826 50.317419 45.718177
46 93.784826 58.383378 44.879198
47 93.784826 65.321220 42.969696
48 93.784826 58.649543 44.847112
49 93.784826 64.164518 42.660417
