npop100_gens50_enemy5_mut0.60_elitism0.10_20240928_155847
gen best mean std
0 93.179318 23.683256 39.425178
1 93.291655 28.228172 43.881870
2 93.291655 34.395422 44.234738
3 93.291655 55.721567 43.626186
4 93.291655 44.288334 46.151918
5 93.291655 53.337509 46.258582
6 93.291655 47.029395 47.182525
7 93.291655 65.167235 42.142879
8 93.291655 48.287169 46.408030
9 93.516796 72.587464 35.735914
10 93.516796 60.991787 43.653431
11 93.516796 65.655152 39.938765
12 93.516796 55.373775 44.312385
13 93.516796 53.820188 45.407295
14 93.516796 52.855222 45.796610
15 93.516796 54.364093 44.908984
16 93.516796 59.567873 44.968550
17 93.516796 48.870835 46.560508
18 93.516796 61.215086 43.110208
19 93.516796 59.829088 44.155473
20 93.516796 52.506830 46.151091
21 93.516796 52.912390 45.959588
22 93.516796 60.430282 44.868773
23 93.696796 60.839215 44.651353
24 93.696796 61.913325 43.417460
25 93.696796 53.693204 45.896196
26 93.696796 55.870745 46.965620
27 93.696796 52.578310 45.017520
28 93.696796 62.919557 42.368458
29 93.696796 58.281507 44.682775
30 93.696796 53.020944 45.867079
31 93.696796 54.285360 44.524786
32 93.696796 64.358249 38.177824
33 93.696796 61.578982 44.013465
34 93.696796 72.139941 36.140610
35 93.696796 69.629964 38.859421
36 93.696796 70.168588 39.611643
37 93.696796 54.312034 45.228829
38 93.696796 48.604806 47.105578
39 93.696796 57.862925 44.679639
40 93.696796 60.911001 41.838024
41 93.696796 44.744177 46.830368
42 93.696796 61.021394 44.106675
43 93.696796 62.792502 42.172761
44 93.696796 66.452038 41.594387
45 93.696796 65.370144 42.702754
46 93.696796 67.506252 40.334581
47 93.696796 64.173396 40.175525
48 93.696796 60.777054 42.906520
49 93.696796 58.926887 43.683660
